상병기호,한글명,영문명,완전코드구분,주상병사용구분,법정감염병구분,성별구분,상한연령,하한연령,양한방구분
A00,콜레라,Cholera,N,,제2급,,,,양·한방 공통
A000,비브리오 콜레라 01 콜레라형균에 의한 콜레라,"Cholera due to Vibrio cholerae 01, biovar cholerae",,,제2급,,,,양·한방 공통
A000,고전적 콜레라,Classical cholera,,,,,,,양·한방 공통
A001,비브리오 콜레라 01 엘토르형균에 의한 콜레라,"Cholera due to Vibrio cholerae 01, biovar eltor",,,제2급,,,,양·한방 공통
A001,엘토르 콜레라,Cholera eltor,,,,,,,양·한방 공통
A009,상세불명의 콜레라,"Cholera, unspecified",,,제2급,,,,양·한방 공통
A01,장티푸스 및 파라티푸스,Typhoid and paratyphoid fevers,N,,,,,,양·한방 공통
A010,장티푸스,Typhoid fever,,,제2급,,,,양·한방 공통
A010,장티푸스균에 의한 감염,Infection due to Salmonella typhi,,,,,,,양·한방 공통
A011,파라티푸스 A,Paratyphoid fever A,,,제2급,,,,양·한방 공통
A012,파라티푸스 B,Paratyphoid fever B,,,제2급,,,,양·한방 공통
A013,파라티푸스 C,Paratyphoid fever C,,,제2급,,,,양·한방 공통
A014,상세불명의 파라티푸스,"Paratyphoid fever, unspecified",,,제2급,,,,양·한방 공통
A014,파라티푸스균에 의한 감염 NOS,Infection due to Salmonella paratyphi NOS,,,,,,,양·한방 공통
A02,기타 살모넬라감염,Other salmonella infections,N,,,,,,양·한방 공통
A02,살모넬라 티피와 살모넬라 파라티피 이외의 살모넬라종에 의하여 생긴 감염 또는 식중독,Infection or foodborne intoxication due to any Salmonella species other than S. Typhi and S. Paratyphi,N,,,,,,양·한방 공통
A020,살모넬라장염,Salmonella enteritis,,,제4급,,,,양·한방 공통
A020,살모넬라증,Salmonellosis,,,,,,,양·한방 공통
A021,살모넬라패혈증,Salmonella sepsis,,,,,,,양·한방 공통
A022,국소적 살모넬라감염,Localized salmonella infections,,,,,,,양·한방 공통
